Number,X,Y,Al,Ti,Cr,Fe,Co,Ni,Cu,Zr,Mo,W,Mn,Si,Mg,Resistance,Thickness,Resistivity,Ex_resistivity,ravg,delta,dHmix,Amorphous,ENavg,dEN,N,Compo
107,-17,0,0,0,0,0,0,52.15194595,0,47.84805405,0,0,0,0,0,0.9416238,335.9802,143.3142295,119.5560689,0.14270378,0.129519049,-48.90923492,0,1.632481287,0.289731285,2,Ni/Zr
108,0,0,0,0,0,0,0,43.49481081,0,56.50518919,0,0,0,0,0,0.5728012,354.4,91.95933761,65.15646257,0.14590692,0.12571547,-48.17057727,0,1.582269903,0.28753511,2,Ni/Zr
109,17,0,0,0,0,0,0,34.85578378,0,65.14421622,0,0,0,0,0,0.4985358,410.3692,92.67643305,62.83521221,0.14910336,0.118246869,-44.50479322,0,1.532163546,0.276377925,2,Ni/Zr
110,34,0,0,0,0,0,0,26.21702703,0,73.78297297,0,0,0,0,0,0.6219788,466.3385,131.3938553,98.51438367,0.1522997,0.106849495,-37.91365585,0,1.482058757,0.255092559,2,Ni/Zr
111,-34,0,0,5.843378378,0,0,0,94.15662162,0,0,0,0,0,0,0,0.1498976,498.0885,33.82200864,24.84273585,0.127512653,0.079099295,-7.702698738,0,1.893054203,0.068022946,2,Ni/Ti
112,-17,0,0,8.306081081,0,0,0,91.69391892,0,0,0,0,0,0,0,0.2184722,443.8192,43.92385713,34.0809145,0.128571615,0.092297876,-10.66263975,0,1.885912365,0.080032494,2,Ni/Ti
113,0,0,0,10.76878378,0,0,0,89.23121622,0,0,0,0,0,0,0,0.375812,389.55,66.31809676,55.61148429,0.129630577,0.102825951,-13.45276344,0,1.878770527,0.089895869,2,Ni/Ti
114,17,0,0,15.94408108,0,0,0,84.05591892,0,0,0,0,0,0,0,0.7555139,366.217,125.3369614,112.8153721,0.131855955,0.119385781,-18.76272141,0,1.863762165,0.10616513,2,Ni/Ti
115,34,0,0,21.15986486,0,0,0,78.84013514,0,0,0,0,0,0,0,1.839987,342.8841,285.7987358,271.4479712,0.134098742,0.130970618,-23.35545248,0,1.848636392,0.118448107,2,Ni/Ti
116,-34,0,0,15.54379781,0,0,0,84.45620219,0,0,0,0,0,0,0,0.6195612,376.6593,105.71366,93.33245013,0.131683833,0.11831242,-18.37878183,0,1.864922986,0.105073293,2,Ni/Ti
117,-17,0,0,21.05439891,0,0,0,78.94560109,0,0,0,0,0,0,0,1.403607,364.3297,231.6531999,217.3394222,0.134053392,0.130775395,-23.27013048,0,1.848942243,0.118231552,2,Ni/Ti
118,0,0,0,26.565,0,0,0,73.435,0,0,0,0,0,0,0,1.959419,352,312.4411161,296.1947706,0.13642295,0.139215464,-27.31121085,0,1.8329615,0.128086824,2,Ni/Ti
119,17,0,0,35.98281421,0,0,0,64.01718579,0,0,0,0,0,0,0,1.245591,352.1868,198.7223609,179.173188,0.14047261,0.146917204,-32.24925903,0,1.805649839,0.139185454,2,Ni/Ti
120,34,0,0,45.40062842,0,0,0,54.59937158,0,0,0,0,0,0,0,0.7051089,352.3736,112.553178,89.70117757,0.14452227,0.148135257,-34.70384093,0,1.778338178,0.144385224,2,Ni/Ti
